Benchmarks,Policy,RT,IPC,MPKI,Pred_Accuracy (%),Energy (mJ),REF/WB Counts
client_001,Refresh,1ms,1.0185055,6.6152796030832235,95.42335323601728,3.5244785095389863,6911.5
client_001,Refresh,10ms,1.0187895,6.6152796030832235,95.42335323601728,3.6970552674474084,0.0
client_001,Refresh,100ms,1.0187895,6.6152796030832235,95.42335323601728,3.922943747447408,0.0
client_001,Refresh,1s,1.0187895,6.6152796030832235,95.42335323601728,4.2743258274474085,0.0
client_001,WriteBack,1ms,1.017806,6.638799601672024,95.42357007741441,3.529166752470813,9493.0
client_001,WriteBack,10ms,1.0187895,6.6152796030832235,95.42335323601728,3.6970552674474084,0.0
client_001,WriteBack,100ms,1.0187895,6.6152796030832235,95.42335323601728,3.922943747447408,0.0
client_001,WriteBack,1s,1.0187895,6.6152796030832235,95.42335323601728,4.2743258274474085,0.0
client_002,Refresh,1ms,1.0833949999999999,10.959489780810205,95.33223520777676,4.808713829809051,0.0
client_002,Refresh,10ms,1.0833949999999999,10.959489780810205,95.33223520777676,5.01823943980905,0.0
client_002,Refresh,100ms,1.0833949999999999,10.959489780810205,95.33223520777676,5.28762950980905,0.0
client_002,Refresh,1s,1.0833949999999999,10.959489780810205,95.33223520777676,5.706680729809052,0.0
client_002,WriteBack,1ms,1.0833949999999999,10.959489780810205,95.33223520777676,4.808713829809051,0.0
client_002,WriteBack,10ms,1.0833949999999999,10.959489780810205,95.33223520777676,5.01823943980905,0.0
client_002,WriteBack,100ms,1.0833949999999999,10.959489780810205,95.33223520777676,5.28762950980905,0.0
client_002,WriteBack,1s,1.0833949999999999,10.959489780810205,95.33223520777676,5.706680729809052,0.0
client_003,Refresh,1ms,0.871007,10.437909791241804,95.51570298095166,4.644107440537672,7410.0
client_003,Refresh,10ms,0.871232,10.437909791241804,95.51570298095166,4.83639133950645,0.0
client_003,Refresh,100ms,0.871232,10.437909791241804,95.51570298095166,5.087906419506451,0.0
client_003,Refresh,1s,0.871232,10.437909791241804,95.51570298095166,5.479152099506452,0.0
client_003,WriteBack,1ms,0.8710070000000001,10.449519791009603,95.51561962649174,4.6439093729672125,4527.5
client_003,WriteBack,10ms,0.871232,10.437909791241804,95.51570298095166,4.83639133950645,0.0
